datasetID,study,chillpor,chillhrs,utah,diagnose,solution
falusi90,exp1,NA,NA,NA,"1treatment 16 degrees(nochill) and ambient(has latlong), also have a transfer dat (1st week feb)",calculate chilling
falusi96,exp1,NA,NA,NA,plants maintained in nursury in florence,Lat long for florence? 43 45
falusi96,exp2,NA,NA,NA,"half at 16 (no chill), and half at ambient for florence",Lat long for florence? 43 45
falusi96,exp3,NA,NA,NA,same as above,same as above
ghelardini10,exp1,NA,NA,NA,"(Italy, 43¡43_ N, 11¡22_ E, and field sample date is in figure",imput field collection date
ghelardini10,exp2,NA,NA,NA,,
junttila12,exp1,NA,NA,NA,,
li05,exp1,NA,NA,NA,,
biasi12,exp1,NA,NA,NA,,
caffarra11a,exp1,NA,NA,NA,,
caffarra11a,exp3,NA,NA,NA,,
charrier11,exp2,NA,NA,NA,,
charrier11,exp1,NA,NA,NA,,
cook00b,exp1,NA,NA,NA,,
cook05,exp1,NA,NA,NA,,
gansert02,exp1,NA,NA,NA,,
gansert02,exp2,NA,NA,NA,,
granhus09,exp1,NA,NA,NA,,
heide12,exp3,NA,NA,NA,,
heide93,exp3,NA,NA,NA,,
howe95,exp1,NA,NA,NA,,
laube14b,exp1,NA,NA,NA,,
morin10,exp1,NA,NA,NA,,
nishimoto95,exp1,NA,NA,NA,,
sogaard08,exp1a,NA,NA,NA,,
sogaard08,exp2,NA,NA,NA,,
sogaard08,exp3a,NA,NA,NA,,
sogaard08,exp3b,NA,NA,NA,,
sogaard08,exp1b,NA,NA,NA,,
thielges75,exp1,NA,NA,NA,,
worrall67,exp 5,NA,NA,NA,,
worrall67,exp1,NA,NA,NA,,
worrall67,exp2,NA,NA,NA,,
worrall67,exp 3,NA,NA,NA,,
